0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,label,file_name,label_encoded
-522.8646,46.66403,34.379715,24.787533,17.4204,10.198791,4.609494,1.3805602,-1.0233719,-3.8484895,-6.6463327,-8.612834,-9.944467,-10.588321,-9.978496,-8.574783,-7.2840624,-6.4564295,-6.1947494,-6.112673,-5.7413893,-5.5515733,-6.0949,-6.8491373,-7.025735,-6.8194613,-6.969243,-7.338726,-7.151422,-6.5357037,-6.4018264,-6.983688,-7.723171,-8.377295,-9.10369,-9.648546,-9.721255,-9.482902,-8.798474,-7.711718,bass,bass_synthetic_068-049-025.wav,0
-444.66235,193.91383,27.282444,-3.6828604,6.2995296,8.078801,10.305446,6.064469,2.5182133,-0.39985013,2.8296254,9.909836,6.9379106,0.47300622,-0.97244465,-0.9953064,0.8154045,5.017693,4.2116814,-0.9243583,-0.18577993,6.434473,11.281112,9.692198,0.5035395,-12.72691,-18.987757,-13.112366,-7.4312997,-7.9248204,-11.585893,-13.670157,-5.549174,-2.1088135,-7.865199,-0.7534463,6.2087283,-0.31859085,-4.6717577,-3.9612296,keyboard,keyboard_electronic_001-021-127.wav,4
-439.3761,59.551678,2.891362,-12.037713,-12.553066,-11.454,-12.531506,-20.461668,-19.25174,-9.7120075,-12.009389,-19.674,-17.592201,-16.410038,-18.69646,-12.105418,7.3705873,34.485844,49.93532,44.6716,26.20352,-4.9947863,-28.94329,-17.384232,8.018578,8.564886,-11.207576,-21.72412,-8.014945,8.825869,-0.6518603,-20.642933,-22.269197,-8.265052,7.712027,14.524937,16.23491,23.097687,20.281025,-2.2165644,guitar,guitar_acoustic_010-066-100.wav,3
-376.2907,73.139565,-42.87876,-20.09634,-50.464844,-17.952667,-26.97816,-20.556953,-13.290683,-5.675947,0.6493411,-15.676928,2.5789728,0.18920633,2.755739,20.732702,40.241493,40.103867,15.0808935,2.235193,-15.264792,-10.199434,10.911416,7.649013,-7.9483128,-20.61968,-12.492046,6.0006247,-6.960035,-25.980762,-13.266151,18.572113,39.36688,26.783358,11.712888,3.5593982,-13.193062,-22.09538,-2.3095028,18.93561,reed,reed_acoustic_037-068-127.wav,7
-366.76062,15.149649,-44.78958,20.9267,-29.565289,-22.411446,-16.344322,-12.014628,10.347475,34.669537,40.06366,17.894537,-2.3320105,-32.316265,-27.105688,-2.846077,0.42331454,-15.373453,-4.7546434,31.502478,30.160479,-2.2247171,-19.934187,-5.9573684,-10.391613,-25.373674,-6.535653,15.330332,-0.15354633,-3.0859537,24.634377,7.835553,-17.281338,-13.733128,-13.341929,-8.444501,3.164162,-2.679392,2.3412383,24.705639,flute,flute_acoustic_002-077-100.wav,2
-507.31458,41.769077,19.433935,13.754623,10.133229,6.1274676,3.0038693,2.253916,0.7148225,-2.1072993,-3.3206081,-2.5813372,-2.383903,-2.8410652,-1.524756,-1.8344076,-2.3461053,-1.229787,-0.586855,-1.2092053,-2.332268,-2.3055036,-2.3718789,-2.6944814,-3.1034393,-2.9808252,-2.699538,-3.098176,-2.8533368,-2.6549416,-3.0264318,-3.1786692,-2.3834674,-1.9032133,-2.2364893,-2.200174,-2.1683652,-2.6647449,-3.1276774,-2.4718697,string,string_acoustic_056-047-075.wav,8
-381.31836,-10.786583,-38.8191,29.503578,-13.078551,46.668125,18.965988,10.852388,-26.54318,-16.136162,42.317196,26.769497,-14.889192,-21.684492,33.140373,8.111611,16.98561,49.982765,-14.957532,-39.879387,37.67678,34.570698,-4.665576,16.482388,-28.817722,13.531221,25.058651,4.636991,33.19188,-40.1436,7.403269,50.369907,4.986427,-0.5973782,1.4629322,12.797728,-11.757713,27.406252,28.691881,-25.322859,vocal,vocal_synthetic_003-088-025.wav,9
-39.966885,122.12761,-127.73313,107.141594,-83.17254,58.102375,-38.622128,22.407677,-9.73966,-0.7361494,10.800087,-17.069426,20.076332,-20.489788,18.050621,-14.400261,10.451198,-4.6621113,0.1444492,3.8269799,-6.6259584,9.22225,-8.95655,9.341938,-8.121231,5.6925883,-3.472489,1.756165,1.839546,-2.34882,3.9799445,-5.0166206,4.9601536,-4.569601,4.222741,-3.1855264,1.7144109,-0.73140574,-0.6694158,0.72168475,brass,brass_acoustic_046-101-050.wav,1
-433.79724,26.115929,7.250396,-0.38058746,-8.172904,-12.749944,-15.407003,-13.922791,-12.504615,-13.706235,-13.647902,-7.022357,5.9894214,17.050142,23.81151,24.280832,16.706068,3.8145378,-7.5710278,-11.564226,-8.111173,-5.3782854,-10.006512,-14.275182,-11.77743,-5.730879,-0.8393466,4.5710487,14.746575,21.441343,15.136452,3.2202735,-3.5866058,-4.5551577,-4.835518,-5.625573,-3.6190171,-3.9180417,-9.384501,-10.701143,guitar,guitar_acoustic_014-070-050.wav,3
-492.11047,35.668617,24.172434,18.31731,13.544193,8.598139,4.1689043,1.2137663,-0.31598413,-1.7801337,-2.619455,-2.667951,-2.1274767,-0.9417197,-0.12869819,-0.35230392,-0.5008295,0.5851077,2.5609827,4.3732715,5.752535,6.8815246,7.0482945,5.498054,2.5660496,-0.18843581,-1.9271821,-3.11684,-3.7278368,-4.435254,-5.319819,-5.0125294,-3.92718,-3.176434,-3.0585313,-3.417503,-3.1983078,-2.397485,-2.313453,-2.362213,string,string_acoustic_014-063-050.wav,8
-436.31485,82.51902,68.615746,50.620937,33.334393,19.68319,10.167761,3.824752,-0.38702974,-2.8824594,-3.6947668,-3.0917778,-1.8253366,-0.7887349,-0.46903396,-0.73298264,-1.1127169,-1.2778486,-1.2559289,-1.266293,-1.4168397,-1.5938966,-1.616468,-1.4409059,-1.1878325,-0.99112016,-0.8585646,-0.6902411,-0.40993732,-0.05512703,0.2583578,0.4387502,0.47575527,0.40951988,0.2638084,0.020774774,-0.3404488,-0.7881192,-1.2286648,-1.5604156,bass,bass_synthetic_033-041-075.wav,0
-486.9852,61.60854,6.444111,4.834417,14.116894,1.6491036,-6.9911466,-1.953572,0.46088302,-1.3613106,1.1476316,1.6331766,-3.0002263,-2.6939075,-1.3600268,-7.1818733,-12.155506,-11.020013,-7.1050353,0.87436885,15.960307,33.186314,40.22404,30.679392,9.663739,-11.50706,-17.456938,-4.4548993,7.6455016,1.3439862,-14.366126,-17.041876,-1.3162127,9.57168,-1.7892699,-17.19606,-14.078783,-0.31720358,-0.11278375,-16.77446,keyboard,keyboard_electronic_001-063-075.wav,4
-419.93655,108.0668,86.18725,58.495457,33.542942,17.455063,12.212297,15.453823,21.912178,26.078978,24.637941,17.416218,6.8652487,-3.3238342,-9.938046,-11.585196,-8.9566345,-4.057282,0.8899286,4.2949553,5.5934453,5.1082134,3.549514,1.580474,-0.31661,-1.8177019,-2.745466,-3.0589359,-2.825968,-2.2026105,-1.4012251,-0.63936114,-0.103033185,0.08856226,-0.06413119,-0.44071457,-0.8892736,-1.3013443,-1.6051071,-1.7519028,keyboard,keyboard_electronic_098-023-050.wav,4
-520.81494,6.834733,-5.7426267,-7.2401834,-6.1612635,1.2558842,6.76934,8.100883,-0.17624705,-6.8672247,-7.05315,-2.2836652,6.621908,7.130631,1.4914815,-3.0067801,-6.1449814,-5.3934007,2.3217413,7.916152,4.7166824,-2.1231406,-5.8436933,-4.5041585,-0.42600363,4.954522,5.2514124,1.4421397,-3.2079344,-6.715102,-2.2367773,4.1855855,4.9852505,1.9003811,-1.7021804,-3.7288265,-3.9874113,0.23205172,5.043359,3.7628055,bass,bass_synthetic_068-084-050.wav,0
-570.9723,30.371159,16.697964,3.3983302,-10.626703,-18.237879,-19.090752,-15.669895,-9.704675,-5.2331495,-3.017761,-2.293554,-3.0853896,-2.517589,0.69743645,4.6185985,9.979121,13.468617,12.349548,9.433757,3.7690935,-3.0686526,-6.9054856,-7.5993843,-5.399878,-1.3693705,1.8997028,3.0979142,1.9576994,-2.523272,-7.3206215,-8.442206,-8.08742,-4.9704285,2.3595123,7.7832756,10.333728,10.51207,6.4183497,1.9481462,mallet,mallet_acoustic_062-066-050.wav,5
-533.7734,6.4639206,-18.414038,-11.777082,-6.781857,9.299288,17.3369,7.973552,-12.622852,-20.796038,-3.653716,19.467426,17.450848,-7.0376697,-13.729472,-7.116445,-3.5028908,11.489069,20.797318,-4.905708,-23.756466,-5.3670244,9.356,11.102887,8.546131,-7.1494536,-12.671616,-6.178134,2.509027,19.877956,6.707333,-17.42337,-9.517459,2.187055,6.630148,7.20521,5.7252436,-8.349921,-15.532808,3.2582219,guitar,guitar_electronic_028-086-100.wav,3
-371.68103,94.41855,-16.536638,5.6692333,24.291939,26.19026,20.45595,6.966787,9.101795,11.669109,11.2832,7.670384,4.9448185,6.0121303,3.583508,2.217366,-1.7281052,-7.702984,-16.396646,-29.178127,-31.485056,-23.784374,-8.757567,4.402453,-0.5133091,-10.275017,-12.71563,-5.510437,4.4409695,-0.071887024,-10.3394575,-11.3539505,-2.9290493,2.2144995,-6.7417636,-12.496276,-1.287711,13.883092,14.645685,6.285187,flute,flute_synthetic_000-053-025.wav,2
-575.3793,28.565758,4.465996,1.9597597,-9.557765,-9.55318,-14.441212,-13.41203,-12.99268,-13.159376,-13.078383,-14.62636,-10.456502,-4.6592407,8.406444,21.263073,28.653166,26.294945,15.788993,2.1974518,-9.079035,-8.6968975,-5.074602,-5.8203244,-10.044687,-11.729615,-10.399437,-8.270447,-8.090762,-7.5965433,2.0711062,13.777326,18.41187,16.244198,10.734196,3.1108782,-3.222382,-5.9013963,-4.1419606,-0.34277925,guitar,guitar_acoustic_015-068-127.wav,3
